Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
86.3,-0.3833,11.7201,0.08895,8.314,9.091,9.867,10.739,11.72,12.83,14.091,15.531,16.97
86.4,-0.3833,11.7453,0.08895,8.332,9.11,9.888,10.762,11.745,12.858,14.122,15.564,17.006
86.5,-0.3833,11.7705,0.08895,8.35,9.13,9.91,10.785,11.77,12.885,14.152,15.597,17.043
86.6,-0.3833,11.7957,0.08895,8.368,9.149,9.931,10.808,11.796,12.913,14.182,15.631,17.079
86.7,-0.3833,11.8209,0.08895,8.386,9.169,9.952,10.831,11.821,12.941,14.213,15.664,17.116
86.8,-0.3833,11.8461,0.08895,8.403,9.188,9.973,10.854,11.846,12.968,14.243,15.698,17.152
86.9,-0.3833,11.8713,0.08896,8.421,9.208,9.994,10.877,11.871,12.996,14.273,15.731,17.189
87,-0.3833,11.8965,0.08896,8.439,9.227,10.015,10.9,11.896,13.024,14.304,15.765,17.226
87.1,-0.3833,11.9217,0.08896,8.457,9.247,10.037,10.923,11.922,13.051,14.334,15.798,17.262
87.2,-0.3833,11.9468,0.08896,8.475,9.266,10.058,10.946,11.947,13.079,14.364,15.832,17.299
87.3,-0.3833,11.972,0.08896,8.492,9.286,10.079,10.969,11.972,13.106,14.395,15.865,17.335
87.4,-0.3833,11.9971,0.08897,8.51,9.305,10.1,10.992,11.997,13.134,14.425,15.899,17.372
87.5,-0.3833,12.0223,0.08897,8.528,9.324,10.121,11.015,12.022,13.161,14.455,15.932,17.409
87.6,-0.3833,12.0474,0.08897,8.546,9.344,10.142,11.038,12.047,13.189,14.485,15.965,17.445
87.7,-0.3833,12.0725,0.08898,8.563,9.363,10.163,11.061,12.072,13.216,14.516,15.999,17.482
87.8,-0.3833,12.0976,0.08898,8.581,9.383,10.184,11.084,12.098,13.244,14.546,16.032,17.519
87.9,-0.3833,12.1227,0.08898,8.599,9.402,10.205,11.107,12.123,13.271,14.576,16.066,17.555
88,-0.3833,12.1478,0.08899,8.616,9.421,10.226,11.13,12.148,13.299,14.607,16.099,17.592
88.1,-0.3833,12.1728,0.08899,8.634,9.441,10.247,11.153,12.173,13.326,14.637,16.133,17.628
88.2,-0.3833,12.1978,0.089,8.651,9.46,10.268,11.176,12.198,13.354,14.667,16.166,17.665
88.3,-0.3833,12.2229,0.089,8.669,9.479,10.289,11.199,12.223,13.381,14.697,16.2,17.702
88.4,-0.3833,12.2479,0.08901,8.686,9.498,10.31,11.221,12.248,13.409,14.728,16.233,17.739
88.5,-0.3833,12.2729,0.08901,8.704,9.518,10.331,11.244,12.273,13.436,14.758,16.266,17.775
88.6,-0.3833,12.2978,0.08902,8.722,9.537,10.352,11.267,12.298,13.464,14.788,16.3,17.812
88.7,-0.3833,12.3228,0.08902,8.739,9.556,10.373,11.29,12.323,13.491,14.818,16.333,17.848
88.8,-0.3833,12.3477,0.08903,8.757,9.575,10.394,11.313,12.348,13.518,14.848,16.367,17.885
88.9,-0.3833,12.3727,0.08903,8.774,9.595,10.415,11.336,12.373,13.546,14.879,16.4,17.921
89,-0.3833,12.3976,0.08904,8.792,9.614,10.436,11.358,12.398,13.573,14.909,16.433,17.958
89.1,-0.3833,12.4225,0.08904,8.809,9.633,10.457,11.381,12.422,13.6,14.939,16.466,17.994
89.2,-0.3833,12.4474,0.08905,8.827,9.652,10.477,11.404,12.447,13.628,14.969,16.5,18.031
89.3,-0.3833,12.4723,0.08906,8.844,9.671,10.498,11.427,12.472,13.655,14.999,16.533,18.068
